iter	Passed	Remaining
0	58	58146
1	58	29302
2	59	19680
3	59	14859
4	60	11971
5	60	10059
6	61	8683
7	61	7647
8	62	6840
9	62	6194
10	63	5670
11	63	5231
12	64	4864
13	64	4546
14	65	4269
15	65	4027
16	65	3815
17	66	3625
18	66	3454
19	67	3300
20	67	3161
21	68	3032
22	68	2910
23	68	2802
24	69	2704
25	69	2613
26	70	2530
27	70	2453
28	71	2381
29	71	2314
30	72	2252
31	72	2200
32	73	2147
33	73	2096
34	74	2045
35	74	1997
36	75	1957
37	75	1913
38	76	1876
39	76	1837
40	77	1805
41	77	1772
42	78	1738
43	78	1706
44	79	1677
45	79	1647
46	79	1618
47	80	1594
48	80	1567
49	81	1542
50	81	1517
51	81	1493
52	82	1470
53	82	1452
54	83	1430
55	83	1412
56	84	1393
57	84	1376
58	85	1357
59	85	1340
60	85	1323
61	86	1305
62	86	1288
63	87	1273
64	87	1257
65	87	1242
66	88	1228
67	88	1213
68	88	1199
69	89	1187
70	89	1173
71	90	1160
72	90	1148
73	90	1136
74	91	1124
75	91	1112
76	92	1103
77	92	1092
78	92	1082
79	93	1072
80	93	1061
81	93	1051
82	94	1043
83	94	1035
84	95	1027
85	95	1019
86	96	1010
87	96	1001
88	97	993
89	97	984
90	97	976
91	98	969
92	98	961
93	99	954
94	99	947
95	99	939
96	100	932
97	100	925
98	100	918
99	101	912
100	101	905
101	102	898
102	102	892
103	102	885
104	103	880
105	103	875
106	104	869
107	104	864
108	105	860
109	105	854
110	106	849
111	106	844
112	106	838
113	107	834
114	107	829
115	108	826
116	108	822
117	109	817
118	110	814
119	110	810
120	111	807
121	111	802
122	112	799
123	112	796
124	113	792
125	113	787
126	113	783
127	114	779
128	115	781
129	116	779
130	116	775
131	117	773
132	118	771
133	118	767
134	119	763
135	119	760
136	120	757
137	120	754
138	121	751
139	121	747
140	122	744
141	122	740
142	123	738
143	123	734
144	124	732
145	124	729
146	125	726
147	125	723
148	126	721
149	126	718
150	127	715
151	127	712
152	128	709
153	128	707
154	129	703
155	129	700
156	129	697
157	130	695
158	130	692
159	131	690
160	131	687
161	132	684
162	132	681
163	133	678
164	133	675
165	133	673
166	134	670
167	134	667
168	135	665
169	135	662
170	136	661
171	136	658
172	137	655
173	137	652
174	137	649
175	138	647
176	138	644
177	138	641
178	139	638
179	139	636
180	140	633
181	140	631
182	140	628
183	141	625
184	141	623
185	141	620
186	142	618
187	142	615
188	142	613
189	143	611
190	143	608
191	144	606
192	144	604
193	144	601
194	145	600
195	145	598
196	146	595
197	146	593
198	146	591
199	147	589
200	147	587
201	148	585
202	148	582
203	148	580
204	149	578
205	149	576
206	149	574
207	150	572
208	151	574
209	152	572
210	152	570
211	152	568
212	153	566
213	153	564
214	153	562
215	154	560
216	154	558
217	155	556
218	155	554
219	155	552
220	156	550
221	156	548
222	156	546
223	157	544
224	157	543
225	158	541
226	158	539
227	158	537
228	159	536
229	159	534
230	159	532
231	160	530
232	160	529
233	161	527
234	161	525
235	161	524
236	162	522
237	162	520
238	163	519
239	163	517
240	163	515
241	164	514
242	164	512
243	164	510
244	165	509
245	165	507
246	166	506
247	166	504
248	166	503
249	167	501
250	167	500
251	168	499
252	168	497
253	169	496
254	169	495
255	169	493
256	170	492
257	170	490
258	171	489
259	171	487
260	171	486
261	172	485
262	173	486
263	173	484
264	174	483
265	174	482
266	175	481
267	175	480
268	176	479
269	176	477
270	177	476
271	177	474
272	177	473
273	178	471
274	178	470
275	178	469
276	179	468
277	179	466
278	180	465
279	180	465
280	181	463
281	181	462
282	182	461
283	182	460
284	183	459
285	183	458
286	183	457
287	184	456
288	184	454
289	185	453
290	185	452
291	186	451
292	186	449
293	186	448
294	187	447
295	187	446
296	188	445
297	188	443
298	188	442
299	189	441
300	189	440
301	189	439
302	190	437
303	190	436
304	191	435
305	191	434
306	192	433
307	192	432
308	192	431
309	193	430
310	193	429
311	194	427
312	194	426
313	194	425
314	195	424
315	195	423
316	196	422
317	196	421
318	196	420
319	197	418
320	197	417
321	197	416
322	198	415
323	198	414
324	199	413
325	199	412
326	199	411
327	200	409
328	200	408
329	200	407
330	201	406
331	201	405
332	202	404
333	202	403
334	202	402
335	203	401
336	203	400
337	203	399
338	204	398
339	204	397
340	205	397
341	206	396
342	207	396
343	207	395
344	208	396
345	209	395
346	209	394
347	211	395
348	211	394
349	211	393
350	212	392
351	212	392
352	213	391
353	213	390
354	214	389
355	214	388
356	215	387
357	215	386
358	215	385
359	216	384
360	216	383
361	217	382
362	217	381
363	217	380
364	218	379
365	219	380
366	220	379
367	220	378
368	221	377
369	221	377
370	221	376
371	222	375
372	222	374
373	223	373
374	223	372
375	223	371
376	224	370
377	224	369
378	226	370
379	226	369
380	226	368
381	227	367
382	227	366
383	228	365
384	228	364
385	228	363
386	229	363
387	229	362
388	229	361
389	230	360
390	230	359
391	231	358
392	231	357
393	231	356
394	232	355
395	232	355
396	233	354
397	233	353
398	234	352
399	234	352
400	235	351
401	235	350
402	235	349
403	236	348
404	236	347
405	237	346
406	237	346
407	237	345
408	238	344
409	239	344
410	239	343
411	239	342
412	240	341
413	240	340
414	241	339
415	241	338
416	241	338
417	242	337
418	242	336
419	243	335
420	243	335
421	243	334
422	244	333
423	244	332
424	245	331
425	245	330
426	245	329
427	246	329
428	246	328
429	246	327
430	247	326
431	247	325
432	248	324
433	248	324
434	248	323
435	249	322
436	249	321
437	250	321
438	250	320
439	251	319
440	251	318
441	252	318
442	252	317
443	252	316
444	253	316
445	253	315
446	254	314
447	254	313
448	255	313
449	255	312
450	256	311
451	256	310
452	256	310
453	257	309
454	257	308
